#{"t_start": 1536827479.22803, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-160.304966,54,31.711212
-364.694105,55,31.772687
-152.940347,61,31.836162
-167.181156,58,31.903357
-177.67082,52,32.001864
-106.17694,87,32.153368
-316.072705,51,32.23957
-199.178925,73,32.87071
-158.85769,71,32.986383
-353.216199,69,33.107745
-569.589136,72,33.237251
-711.589517,85,33.394539
-144.429903,58,33.478124
-482.838918,65,33.573994
-156.210912,62,33.666426
-537.442029,66,33.76567
-408.611864,59,33.849369
-467.708509,81,33.984635
-553.324269,73,34.097701
-155.34631,57,34.17975
-211.160673,73,34.318891
-422.489275,55,34.459244
-486.777619,86,35.204435
-600.533559,72,35.330998
-414.089279,80,35.466472
-643.530551,74,35.585858
-334.960521,79,35.691647
-478.291772,79,35.800293
-674.274029,79,35.930832
-240.589846,58,36.02711
-335.301132,70,36.134631
-300.150436,56,36.21987
-543.592903,73,36.366783
-756.925032,82,36.506768
-395.8715,54,36.592602
-701.310188,78,37.216008
-505.326351,62,37.311006
-713.865842,76,37.445189
-528.004923,60,37.538849
-675.570754,74,37.653251
-600.301665,70,37.753313
-526.192201,63,37.845126
-725.747192,76,37.978144
-511.675061,73,38.091501
-627.89447,70,38.199765
-468.609469,52,38.284926
-515.525655,58,38.371549
-596.051681,64,38.481317
-458.16019,52,38.563609
-457.811514,51,38.645072
-654.525579,72,38.756918
-563.852148,60,39.428557
-495.397141,69,39.533537
-634.208215,65,39.637492
-566.914971,63,39.736397
-603.701365,67,39.865554
-487.807033,59,39.982321
-449.277854,54,40.103878
-684.638098,74,40.266652
-909.10178,87,40.439038
-535.989777,70,40.57737
-618.41747,65,40.710383
-461.52728,58,40.826471
